idx,hop,count,company
1,2001:630:0:8089::2,88,JANET
2,2a00:1450:8202:1c0::1,16,Google
3,2a00:1450:8202:80::1,13,Google
4,2a00:1450:8202:140::1,11,Google
5,2a00:1450:8204:40::1,11,Google
6,2a00:1450:8204:140::1,8,Google
7,2a00:1450:8202:100::1,7,Google
8,2a00:1450:8202:c0::1,7,Google
9,2a00:1450:8204:80::1,7,Google
10,2001:2035:0:2b16::2,5,Arelion
11,2001:4860:0:1::2021,4,Google
12,2a00:1450:8204:c0::1,4,Google
13,2a01:111:2000:1::33a6,4,Microsoft
14,2a03:2880:f289:1d1:face:b00c:0:167,4,Meta
15,2001:4860:0:1::248a,3,Google
16,2a00:1450:8202:40::1,3,Google
17,2a03:2880:f0a5:103:face:b00c:0:6206,3,Meta
18,2a03:2880:f0a5:116:face:b00c:0:3,3,Meta
19,2a03:2880:f0a5:118:face:b00c:0:2,3,Meta
20,2001:4860:0:1::92dd,2,Google
21,2a01:111:2000:2:8000::308d,2,Microsoft
22,2a01:b740:a02:3000::1f2,2,Apple
23,2a03:2880:f06a:4:face:b00c:0:2,2,Meta
24,2a03:2880:f0a5:104:face:b00c:0:8e,2,Meta
25,2a03:2880:f189:184:face:b00c:0:25de,2,Meta
26,2a03:2880:f266:c4:face:b00c:0:43fe,2,Meta
27,2a03:2880:f289:1cc:face:b00c:0:43fe,2,Meta
28,2a03:2880:f289:1e0:face:b00c:0:4420,2,Meta
29,2001:1900:2100:31::ade,1,Lumen
30,2001:2035:0:111c::2,1,Arelion
31,2001:420:1101:1::185,1,Cisco
32,2001:4860:0:1::248e,1,Google
33,2001:4860:0:1::2fd6,1,Google
34,2001:4860:0:1::4bf9,1,Google
35,2001:4860:0:1::50a0,1,Google
36,2001:4860:0:1::5378,1,Google
37,2001:4860:0:1::5bc9,1,Google
38,2001:4860:0:1::92d9,1,Google
39,2001:4860:0:1::9926,1,Google
40,2001:4860:4802:34::9f,1,Google
41,2001:4860:4802:36::223,1,Google
42,2001:4860:482b:7700::,1,Google
43,2001:4860::c:4004:2ea7,1,Google
44,2001:630:0:10::242,1,JANET
45,2001:630:0:8085::2,1,JANET
46,2001:630:d0:100::7,1,JANET
47,2001:678:cb4:bbbb::11,1,Amobee
48,2001:730:2903:7::d52e:af31,1,Liberty Global
49,2600:1901:0:201::,1,Google
50,2600:1901:0:c0c6::,1,Google
51,2600:9000:2008:9000:1d:d7f6:39d5:bd01,1,Amazon
52,2600:9000:203c:4600:12:e08a:be80:93a1,1,Amazon
53,2600:9000:2076:7400:1c:8167:d900:93a1,1,Amazon
54,2600:9000:2552:fe00:e:6c93:2e80:93a1,1,Amazon
55,2600:9000:2682:7200:8:48e:53c0:93a1,1,Amazon
56,2600:9000:2682:7e00:10:c513:800:93a1,1,Amazon
57,2600:9000:2682:9e00:8:48e:53c0:93a1,1,Amazon
58,2600:9000:26ba:7c00:1a:89bc:d200:93a1,1,Amazon
59,2603:1063:1c:148::365:7ea3,1,Microsoft
60,2620:119:fc::2,1,Cisco
61,2620:119:fc::5,1,Cisco
62,2a00:1288:7c:800::4000,1,Yahoo
63,2a00:1450:4009:c08::5f,1,Google
64,2a00:1450:4009:c0b::9b,1,Google
65,2a00:1450:4009:c0f::9d,1,Google
66,2a01:b740:a06:3000::,1,Apple
67,2a01:b740:a06:f000::219,1,Apple
68,2a03:2880:f189:187:face:b00c:0:4c63,1,Meta
69,2a03:2880:f289:1d0:face:b00c:0:7260,1,Meta
70,2a03:2880:f289:1d8:face:b00c:0:21ba,1,Meta
71,2a03:2880:f289:1e4:face:b00c:0:6e2e,1,Meta
72,2a03:2880:f378:1:face:b00c:0:25de,1,Meta
